date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,Cumulative Confirmed Cases,New Confirmed Cases,Cumulative Probable Cases,New Probable Cases,Cumulative Fatalities,Fatalities by Date of Death,population
6/7/2021,Texas,23570625,30856235,13102370,36.64,81.29,10623566,45.19,106.42,68941,82621,2849,0.764,2524688,339,429055,29,51148,20,29730311
6/8/2021,Texas,23639670,30896645,13136311,36.77,81.53,10662171,45.3,106.56,69045,85321,2943,0.765,2525991,1036,429544,379,51168,20,29730311
6/9/2021,Texas,23733581,30964115,13175964,36.97,81.85,10719245,45.44,106.79,93911,91176,3144,0.766,2527350,1361,434678,351,51186,18,29730311
6/10/2021,Texas,23847099,30974425,13224910,37.2,82.24,10787111,45.61,106.82,113518,95512,3294,0.77,2529068,1418,435435,715,51208,22,29730311
6/11/2021,Texas,23960479,31070825,13272826,37.44,82.63,10856801,45.77,107.16,113380,95270,3286,0.771,2530176,798,435790,297,51227,19,29730311
6/12/2021,Texas,24127329,31153065,13343213,37.79,83.21,10956306,46.02,107.44,166850,106333,3667,0.774,2530658,922,436376,568,51243,16,29730311
6/13/2021,Texas,24197795,31153065,13366617,37.95,83.45,11003643,46.1,107.44,70466,99444,3430,0.777,2530910,240,436444,60,51268,25,29730311
6/14/2021,Texas,24252789,31153065,13383666,38.08,83.64,11040641,46.16,107.44,54994,97452,3361,0.779,2531194,278,436536,91,51284,16,29730311
6/15/2021,Texas,24367591,31171755,13431386,38.32,84.04,11111358,46.32,107.5,114802,103989,3586,0.782,2532112,1207,436925,379,51301,17,29730311
6/16/2021,Texas,24558568,31200615,13511241,38.72,84.7,11228415,46.6,107.6,190977,117855,4065,0.787,2533123,782,437347,376,51321,20,29730311
6/17/2021,Texas,24735511,31231725,13587030,39.08,85.31,11331694,46.86,107.71,176943,126916,4377,0.792,2534149,1214,438088,683,51337,16,29730311
6/18/2021,Texas,24837998,31303415,13629902,39.3,85.66,11394211,47.01,107.96,102487,125360,4323,0.793,2534730,737,438441,295,51350,13,29730311
6/19/2021,Texas,24909954,31438315,13659192,39.45,85.91,11438446,47.11,108.42,71956,111804,3856,0.792,2536217,1125,438958,454,51374,24,29730311
6/20/2021,Texas,25000644,31438315,13692552,39.66,86.22,11499285,47.22,108.42,90690,114693,3955,0.795,2536646,387,439055,94,51395,21,29730311
6/21/2021,Texas,25049611,31438315,13712080,39.76,86.39,11530134,47.29,108.42,48967,113832,3926,0.797,2536691,124,439096,41,51414,19,29730311
